,manhattan,tip,dist,speed,pass
649802,1,1,4,3,1
650268,1,1,4,3,4
651060,1,1,6,4,1
651434,2,6,2,3,4
651709,1,1,5,4,4
651869,2,5,1,1,3
652000,1,4,1,2,1
652068,1,1,6,3,1
652212,1,1,6,6,2
652548,2,1,2,2,1
653060,1,1,2,2,1
653133,2,2,6,6,1
653350,1,2,2,4,4
653623,1,1,1,2,1
653671,1,3,2,2,1
653768,2,3,1,1,2
653781,2,4,2,2,2
653931,1,1,4,1,1
653959,1,3,1,1,2
653996,1,5,2,2,2
654098,2,1,3,3,1
654170,2,2,2,2,1
654679,1,4,2,2,2
655252,2,1,5,5,1
655254,2,2,5,4,1
655346,1,1,3,4,4
655831,1,4,6,5,4
655922,1,1,2,3,1
656397,1,4,1,1,4
657013,2,2,1,2,1
657052,2,1,3,4,1
657054,2,1,3,3,1
657135,2,1,2,2,1
658172,1,1,1,1,1
658442,1,1,6,4,2
658810,1,5,1,2,1
659295,2,4,2,2,3
659375,2,4,2,3,1
659810,1,1,3,4,1
659927,2,2,4,2,2
660674,1,1,5,5,1
661303,1,3,2,2,1
661765,2,4,3,2,3
661799,2,2,1,1,1
661977,2,1,1,1,1
662183,2,3,2,3,2
662234,2,6,2,3,3
662310,2,1,1,1,1
662464,1,1,6,3,2
664070,1,1,3,6,1
664111,1,1,4,2,1
664175,2,1,2,3,1
664181,2,3,2,1,3
664199,2,1,3,2,1
664538,2,1,2,1,1
664551,2,2,1,2,1
664668,1,2,4,5,1
665061,1,1,2,2,1
665116,2,1,4,3,2
665580,2,2,2,2,1
666404,1,4,6,3,1
666457,1,1,1,1,1
667490,2,2,1,2,1
667581,1,4,3,2,4
667692,1,1,6,5,1
669362,2,3,1,1,2
669383,2,1,1,1,1
669726,2,1,2,2,1
669924,1,1,6,6,1
670261,2,6,1,3,4
670761,2,3,4,4,2
671437,1,1,1,2,2
672173,2,1,4,5,3
672183,2,3,3,3,2
672678,2,1,1,1,1
672695,2,1,1,1,2
673326,2,1,2,2,1
673741,1,2,1,1,1
674133,1,6,3,4,4
674407,1,1,2,3,1
674508,2,1,2,2,1
674596,2,1,3,4,1
674792,2,4,3,2,3
674797,2,1,1,2,1
675460,2,1,2,2,1
675485,2,1,1,2,1
676260,1,1,6,6,1
676390,1,1,6,5,4
676606,1,1,2,2,1
677529,2,4,1,1,2
677570,2,3,1,2,2
677717,2,2,3,4,1
677786,2,2,2,4,2
678510,2,1,2,2,1
678982,1,1,3,2,2
678996,1,1,5,4,1
679258,1,1,5,4,1
679773,2,2,3,3,1
679976,2,3,3,2,2
680148,1,1,6,6,1
680220,1,1,4,4,1
680599,1,1,2,2,1
680906,1,2,4,3,1
681173,2,1,2,2,1
682501,2,2,3,2,1
682860,2,4,4,3,1
683042,2,2,1,1,1
683063,2,1,2,2,1
684182,1,1,1,1,1
684470,1,1,2,5,1
684916,2,3,1,2,2
684990,2,3,1,2,2
685010,1,3,5,5,1
685082,1,1,6,5,1
685853,2,1,2,2,1
685854,2,4,3,3,1
685874,1,3,2,1,1
685927,1,4,4,3,1
686071,1,1,5,2,4
686357,2,1,2,3,1
686738,1,1,5,6,1
686902,1,5,6,6,4
686974,1,1,1,2,1
687026,1,1,3,4,2
687896,2,2,1,1,1
687900,2,4,3,3,1
687982,1,5,4,6,4
688230,2,1,1,1,1
688293,1,1,1,2,1
689618,1,5,1,2,4
689924,1,4,3,3,1
690349,2,5,1,2,3
690934,1,3,2,2,3
691210,1,1,6,5,1
691327,1,4,3,3,1
691496,2,2,4,4,2
691497,2,4,4,6,2
692722,1,1,2,2,1
693388,2,2,4,5,1
694058,2,1,1,3,1
694442,1,2,3,3,1
694810,1,1,6,4,2
694836,1,1,5,6,1
695317,2,2,1,2,1
695356,2,2,2,2,1
695387,1,1,1,3,1
695432,1,1,1,3,1
695440,1,4,4,3,1
695605,2,3,1,2,2
696176,2,1,3,3,1
696215,2,2,4,4,3
696262,1,1,1,2,1
696525,1,1,2,2,1
697196,1,4,6,5,2
697376,1,3,5,5,1
697860,1,1,6,6,1
698557,2,2,2,2,1
698618,1,2,5,4,1
698708,1,1,3,2,1
699122,1,1,4,5,1
699242,2,6,1,3,4
699300,1,1,6,6,1
699822,2,5,3,3,1
699986,1,1,2,5,1
700006,1,2,2,4,1
700020,1,1,5,6,1
700487,2,1,1,1,1
700942,1,3,4,6,1
701263,1,1,6,5,1
701404,2,3,4,4,4
701498,1,1,2,4,1
701564,1,1,1,3,1
701806,1,2,6,6,1
702646,1,1,1,3,1
703461,2,1,3,3,1
703638,2,6,1,1,2
703811,1,1,1,2,1
704900,1,1,2,3,1
704918,1,1,1,3,4
772452,1,1,6,4,1
773039,2,2,2,2,1
773156,1,4,3,3,3
773380,2,2,2,3,1
774064,1,1,3,2,4
774218,1,3,4,3,2
774460,2,5,1,3,1
775188,1,1,5,4,1
775370,1,3,6,3,1
775658,1,3,6,3,1
775852,2,4,1,2,2
776029,2,4,2,1,2
776172,2,3,4,3,1
776181,2,3,4,2,1
776241,2,4,2,2,2
776416,1,4,1,1,1
776556,1,1,6,5,1
777754,1,4,5,3,1
778096,1,5,5,4,4
778106,1,5,6,3,3
779074,1,1,4,2,4
779080,1,1,1,2,1
779124,2,3,1,1,2
779258,1,2,3,2,2
779294,1,1,1,3,1
780885,1,2,3,1,4
781308,1,1,6,4,2
781642,1,1,1,1,1
782164,2,4,3,2,1
782189,2,1,1,1,1
782990,1,3,5,4,1
783578,1,1,5,2,1
783888,1,1,1,1,1
784853,2,1,2,1,1
785268,1,1,2,5,1
785398,1,1,6,3,1
786189,2,1,4,2,1
786221,2,1,4,4,1
